Postcode - Incident,Offence count,Coordinates,Latitude,Longitude
3136,2.0,"(-37.8118351, 145.2691543)",-37.8118351,145.2691543
3145,1.0,"(-37.909822, 145.0861257)",-37.909822,145.0861257
3146,1.0,"(-37.8297119, 145.0438839)",-37.8297119,145.0438839
3156,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3165,2.0,"(-37.909822, 145.0861257)",-37.909822,145.0861257
3170,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3174,1.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3175,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3179,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3180,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3192,2.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3212,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3216,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3218,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3222,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3260,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3271,1.0,"(-35.3290988, 149.1280884)",-35.3290988,149.1280884
3304,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3311,2.0,"(-37.8062142, 140.766463)",-37.8062142,140.766463
3312,1.0,"(-37.8062142, 140.766463)",-37.8062142,140.766463
3318,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3352,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3355,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3356,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3377,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3379,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3380,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3414,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3420,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3516,1.0,"(-36.774006, 144.2905159)",-36.774006,144.2905159
3551,1.0,"(-36.774006, 144.2905159)",-36.774006,144.2905159
3634,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3825,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3840,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3880,1.0,"(-37.88531995, 147.97159660490675)",-37.88531995,147.97159660490675
3977,1.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3978,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3995,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
4000,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4032,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4034,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4035,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4053,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4059,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4068,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4104,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4129,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4209,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4210,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4214,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4217,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4218,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4221,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4226,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4227,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4280,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4306,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4343,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4344,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4506,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4510,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4741,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4810,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4870,4.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
5000,91833.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5001,2.0,"(-33.358255150000005, 115.63522152018518)",-33.358255150000005,115.63522152018518
5005,1.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5006,9192.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5007,14653.0,"(-34.904619369921875, 138.56869979609374)",-34.904619369921875,138.56869979609374
5008,16420.0,"(-34.885446486666666, 138.56407431)",-34.885446486666666,138.56407431
5009,9253.0,"(-34.89333800508475, 138.55207747711864)",-34.89333800508475,138.55207747711864
5010,7665.0,"(-34.860966592380954, 138.5668656361905)",-34.860966592380954,138.5668656361905
5011,15845.0,"(-34.881330125, 138.53629488671876)",-34.881330125,138.53629488671876
5012,13116.0,"(-34.86198336031746, 138.54154087460319)",-34.86198336031746,138.54154087460319
5013,16329.0,"(-34.85066114414894, 138.5248049)",-34.85066114414894,138.5248049
5014,12807.0,"(-34.865867036257306, 138.51711015789473)",-34.865867036257306,138.51711015789473
5015,13984.0,"(-34.84517732021858, 138.50466336010928)",-34.84517732021858,138.50466336010928
5016,8120.0,"(-34.83179705813008, 138.48851880731706)",-34.83179705813008,138.48851880731706
